meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
,Kirby and the Forgotten Land,Switch,25-Mar-22,,/game/switch/kirby-and-the-forgotten-land,E10+,"['Nintendo', ' HAL Labs']","['Action', 'Platformer', '3D']"
84,Pokemon Legends: Arceus,Switch,28-Jan-22,8.1,/game/switch/pokemon-legends-arceus,E,['Game Freak'],"['Role-Playing', 'Trainer']"
,Advance Wars 1 + 2: Re-Boot Camp,Switch,3-Dec-21,,/game/switch/advance-wars-1-+-2-re-boot-camp,E10+,"['Nintendo', ' WayForward']","['Strategy', 'Turn-Based', 'Tactics']"
72,Big Brain Academy: Brain vs. Brain,Switch,3-Dec-21,8,/game/switch/big-brain-academy-brain-vs-brain,E,['Nintendo'],"['Miscellaneous', 'Party / Minigame']"
69,Disney Magical World 2: Enchanted Edition,Switch,3-Dec-21,,/game/switch/disney-magical-world-2-enchanted-edition,E,['h.a.n.d. Inc.'],"['Simulation', 'Virtual', 'Virtual Life']"
73,Pokemon Brilliant Diamond,Switch,19-Nov-21,5.3,/game/switch/pokemon-brilliant-diamond,E,"['ILCA', ' Inc.']","['Role-Playing', 'Trainer']"
73,Pokemon Shining Pearl,Switch,19-Nov-21,6,/game/switch/pokemon-shining-pearl,E,"['ILCA', ' Inc.']","['Role-Playing', 'Trainer']"
,Pokemon Brilliant Diamond / Pokemon Shining Pearl Double Pack,Switch,19-Nov-21,8.1,/game/switch/pokemon-brilliant-diamond-pokemon-shining-pearl-double-pack,E,"['ILCA', ' Inc.']","['Role-Playing', 'Trainer']"
82,Animal Crossing: New Horizons - Happy Home Paradise,Switch,5-Nov-21,7.7,/game/switch/animal-crossing-new-horizons---happy-home-paradise,,['Nintendo'],"['Simulation', 'Virtual', 'Virtual Life']"
80,Mario Party Superstars,Switch,29-Oct-21,8.5,/game/switch/mario-party-superstars,E,"['Nintendo', ' Nd Cube']","['Miscellaneous', 'Party / Minigame']"
,Hyrule Warriors: Age of Calamity - Guardian of Remembrance,Switch,29-Oct-21,,/game/switch/hyrule-warriors-age-of-calamity---guardian-of-remembrance,,['Omega Force'],"['Action', '3D', ""Beat-'Em-Up""]"
64,Pikmin Bloom,iOS,28-Oct-21,6,/game/ios/pikmin-bloom,,['Niantic Tokyo Studio'],"['Action', 'General']"
,Minecraft Dungeons: Ultimate Edition,Switch,26-Oct-21,,/game/switch/minecraft-dungeons-ultimate-edition,,['Nintendo'],"['Role-Playing', 'Action RPG']"
,Super Smash Bros. Ultimate: Sora,Switch,18-Oct-21,,/game/switch/super-smash-bros-ultimate-sora,,['Nintendo'],"['Action', 'Fighting', '2D']"
88,Metroid Dread,Switch,8-Oct-21,8.7,/game/switch/metroid-dread,T,"['Mercury Steam', ' Nintendo']","['Action Adventure', 'Open-World']"
76,WarioWare: Get It Together!,Switch,10-Sep-21,8.1,/game/switch/warioware-get-it-together!,E10+,"['Nintendo', ' Intelligent Systems']","['Miscellaneous', 'Party / Minigame']"
81,The Legend of Zelda: Skyward Sword HD,Switch,16-Jul-21,7,/game/switch/the-legend-of-zelda-skyward-sword-hd,E10+,"['Tantalus', ' Nintendo']","['Action Adventure', 'Open-World']"
,Fitness Boxing 2: Rhythm & Exercise - Musical Journey,Switch,1-Jul-21,,/game/switch/fitness-boxing-2-rhythm-exercise---musical-journey,,['Jupiter Corporation'],"['Miscellaneous', 'Exercise / Fitness']"
,Super Smash Bros. Ultimate: Kazuya,Switch,29-Jun-21,,/game/switch/super-smash-bros-ultimate-kazuya,,['Nintendo'],"['Action', 'Fighting', '2D']"
70,Mario Golf: Super Rush,Switch,25-Jun-21,5.6,/game/switch/mario-golf-super-rush,E,"['Nintendo', ' Camelot Software Planning']","['Sports', 'Individual', 'Golf', 'Arcade']"
